,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
1043,0,0,,"[-6484.531868205395, 4636.831717554453, 9337.460271012256, 5.042417635232418, 1.6763279408924432, 2.199043909904368, -8.596227510451884, 8.86199674964939, -6.010653110493453, 1.577817713018618, -8.382778940842847, -1.8564245484815824, 10075.538950650662, 391.0686587326054, -59637.711925323645]"
1044,"[array([193653.76626292, 819268.44402071, 579764.64179455]), array([193653.76626292, 819268.44402071, 579764.64179455])]","[array([ -33.89722, -164.52197, -129.71725]), array([ 33.89722, 164.52197, 129.71725])]",,"[-4932.693163340325, 2560.7625535315074, 8228.001770682706, 1.1954944278539872, 0.9941425095844525, 2.995626899708887, 7.145132094611721, -0.446217008121903, 8.332633169352189, 5.21438708552542, -0.3435782194222714, -7.442966202235898, -108868.1351935128, -103883.91488430006, -48600.827467931435]"
1045,0,0,,"[5022.000547563875, 8311.730938391396, 7594.614843046649, 0.603057368406393, 2.6850247700879346, 1.1721271549843888, -7.51684268034786, 1.2912098240316414, -6.889972130011071, 2.9232206726436303, 3.0905827876600984, 0.9840772166543204, -139585.6748382762, 93419.62629044085, -373392.96530979703]"
1046,0,0,,"[-8231.107284296739, 4494.572723343435, 1658.0211614238287, 4.768366200797974, 1.359578298110159, 4.245589882495754, -3.370354808145276, 12.077733719374724, -2.3332201574017306, -6.4964566980405065, 3.5563946858316555, -7.002014452859675, -144108.0558419082, -27329.03215121274, -285187.36356166593]"
1047,"[array([ 618554.14944396, 1834897.51120344, 2069915.03453082]), array([ 618554.14944396, 1834897.51120344, 2069915.03453082])]","[array([-156.6075 ,  172.75289, -175.18285]), array([ 156.6075 , -172.75289,  175.18285])]",,"[-983.2921959486157, -6405.666631932405, -2142.5641693504076, 5.920649950534658, 4.603689088065371, 4.806538485880732, 7.223450371739521, -6.946776617937713, 7.6107038402022695, -9.703430580819367, 2.4516087794850527, -6.1899949736078215, 103073.887686306, 70390.19547832999, -364989.41290177323]"
1048,0,0,,"[1077.3457342743022, -7222.600522244702, 950.9418505323283, 3.5701207273685944, 2.6859480465565464, 0.9618496338968254, -12.020046837274249, 4.338333922745575, 5.123143172408257, -1.4573496835258695, -5.129130268810114, -5.978665764397476, -67561.38682090929, -97276.4100981694, -326437.7614334188]"
1049,0,0,,"[-3928.7792384194972, 4623.374312965627, -1412.8656340328962, 4.204157482796875, 3.3350397902485573, 4.640493301847524, -8.175913933656606, 0.6070236121274775, -5.23720598127184, -0.251439756347569, -12.51328112375746, -11.082133858949419, 93907.63327848804, -90570.24620047407, -266799.82549565367]"
1050,"[array([398185.50709757, 258212.95260926, 183769.64547434]), array([398185.50709757, 258212.95260926, 183769.64547434])]","[array([-92.9609 ,  24.72152, -78.25014]), array([ 92.9609 , -24.72152,  78.25014])]",,"[1122.0706389429997, 8622.869792255351, -519.7583148454287, 1.6225441396568623, 5.374915736060873, 1.5990853483131733, 8.993854376461467, 12.329877640645375, 3.498681766841626, 6.465089907384897, -7.411746423204982, 2.63499915084196, 118179.18098092219, -38254.5421191659, -138311.23334710315]"
1051,0,0,,"[-2968.9830745352365, -4020.406698905028, -2672.33745269061, 2.016342191929964, 3.637665815914867, 0.12095473434178639, -0.7961548296607379, -5.510822511332276, -1.815921885057807, -10.981692951679983, -0.3846841426479237, -2.1895234805220305, 141418.22219629335, -91562.44524525088, -233962.88152159314]"
1052,0,0,,"[-4069.5353513749315, -8987.09534155047, -3480.6328629593518, 0.6691237054200972, 1.1928087156896046, 4.968802566134999, -6.736479540255294, 2.6604847726580267, 9.027825398155521, -3.045679189077033, -10.565909980303129, 2.433582889745024, -20616.734589616506, 14639.404318123328, -118683.71544535767]"
1053,"[array([602307.21342355, 296296.61785795, 449222.29210788]), array([602307.21342355, 296296.61785795, 449222.29210788])]","[array([-90.44115,  32.5369 , -93.26611]), array([ 90.44115, -32.5369 ,  93.26611])]",,"[906.1538255183514, 1067.1456023298506, -6147.379194014035, 4.1519256775588955, 0.35131128290602087, 3.1358155677719775, 8.37991258720005, 6.669668978096256, 3.637786358755502, 10.8758335545504, -5.14704839267894, 2.7214532038179, 120057.19316067343, 2488.921624564973, -234905.93528108211]"
1054,0,0,,"[4501.655490770405, 338.1474554398501, 2531.8758839166694, 4.581417649773611, 2.231898910858823, 1.6932066893694577, 5.374905257009765, 5.547455354459439, 0.21228214134809242, -3.4682722422626604, -1.4459807820304018, -9.978177395847498, 92272.88736206526, 80092.89303842798, -81970.63068391138]"
1055,"[array([831777.5421127 , 494376.6106628 , 205578.56012959]), array([831777.5421127 , 494376.6106628 , 205578.56012959])]","[array([-103.93663,   93.29713,  -42.6448 ]), array([103.93663, -93.29713,  42.6448 ])]",,"[2459.680420042412, 2226.4480439459403, 2174.8935812569907, 5.055083688750696, 4.642584941778434, 2.5365524550498675, -4.733196232702661, 11.818629063349753, 4.505811923794758, 2.376123240259668, -5.148639185659146, 7.436011719075051, 142447.51796774572, -61626.13835124894, -214606.47657117015]"
1056,"[array([367878.55465698, 610322.80639099, 496517.89931611])]","[array([ -91.60991,  -75.83946, -130.96925])]",,"[6402.956180484765, -3334.014239370009, -1803.671065959501, 3.0748065709323824, 4.748885842231556, 1.2358464423909117, 10.191767285252244, 12.430380017272508, 7.388017012650366, -6.889828386411219, -8.492810974481735, -1.2878345688319932, -39346.58969159312, -149918.69598609634, -213407.39349168312]"
1057,"[array([385451.81783551, 261503.0573483 , 193340.78246538])]","[array([-59.25469, -79.57431, -59.75935])]",,"[523.6131280262252, 2559.634790625829, -275.58479006468406, 5.400680939467252, 2.0817115363302108, 5.747933604492656, 10.246763190432056, -2.094794608375997, 4.920915445078245, -1.08728987839649, 2.5982727683438114, -3.2568063731257677, -114891.19520542273, -39906.96511449589, -47986.62664887175]"
1058,0,0,,"[-3645.1479763511998, 6677.378050220119, 2737.898275501626, 2.0151368314221965, 1.2633382799481165, 1.6170866360771432, -9.772933988790797, 3.7978078888429234, -0.7451091066514897, -1.3737314460422496, -2.827137784774308, -11.186197960274994, -93310.67823040902, 68899.92340044855, -56988.29283681046]"
1059,"[array([1455386.77233878,  386764.73701336,  515109.15829989]), array([1455386.77233878,  386764.73701336,  515109.15829989])]","[array([-159.50992,    9.28947, -154.78363]), array([159.50992,  -9.28947, 154.78363])]",,"[8903.172760137222, -4112.366048325959, -5112.025964311493, 3.633140146067419, 1.7847520894330846, 3.702778935614111, -7.017392777798533, 12.169981055093057, 0.09047588573402265, 10.128382241415462, -4.762899320696724, -3.471734465846936, 79850.24849034965, -50956.198985785944, -191496.0821028022]"
1060,0,0,,"[-2263.2226537329743, -9026.0417708599, -1650.8537648426227, 3.1402232109716772, 5.187976338912379, 2.5978435440778522, -1.432572644421624, -4.594090636660006, -1.7602004750428701, 1.2775069724577293, -6.867645926910182, -10.412200843884165, 112556.5084111538, -76803.61320684536, -218542.8377995649]"
1061,0,0,,"[-7547.473190480354, -9083.929557480602, -9883.237963859843, 1.055886327304005, 4.861686785384819, 0.42785826971546037, -1.7418351058932835, 7.441412410893955, 1.657019799317549, 6.765797784180027, 6.630660865081268, -12.051082600368625, 62491.804890096304, -99211.82105926811, -380340.36046177964]"
1062,0,0,,"[-3898.114990000372, -2369.928213489309, -5588.472936314415, 4.905087024678062, 4.192491498143407, 4.140147946003207, -2.7274530294967416, -7.724871528615383, -5.202926942843385, -6.635706966613393, -8.826733717524846, 7.099989961625187, 86156.5309223558, -121404.55061602542, -13370.129336907004]"
1063,"[array([605870.84260039, 138141.49656286, 329190.67042   ]), array([605870.84260039, 138141.49656286, 329190.67042   ])]","[array([-66.54447,  55.44737, -76.39917]), array([ 66.54447, -55.44737,  76.39917])]",,"[8714.267789930134, 5413.045632573207, -980.6329789977572, 2.7633119292046544, 5.67292239016277, 4.371741706953093, 10.615963436570503, -2.6740065382956617, -7.186726149992212, 12.40309409460798, 7.039549632799343, 7.866409356937492, 131051.09350101504, 113569.98137679975, -62534.04433716624]"
1064,"[array([409478.14405661, 807063.5959142 , 645149.31621394]), array([409478.14405661, 807063.5959142 , 645149.31621394])]","[array([-99.07465,  32.88507, -93.64297]), array([ 99.07465, -32.88507,  93.64297])]",,"[7172.695742292333, -880.1908247819774, 4991.247423019473, 2.8342896759889733, 2.087403152043034, 4.344001382418156, 12.221867068011402, 10.49000650871788, 3.458534703830365, 6.239566615986963, 2.507474273767164, 7.512579507400972, 76496.96714900562, 130180.62411972688, -321514.3811290927]"
1065,0,0,,"[-3895.280197857691, 9732.403456084208, -260.59839632288276, 5.988060326086455, 5.337054431625714, 4.550841868158493, 1.0474494482671783, -1.6774712540441046, -4.400378391328601, 3.2788060693646894, -9.902399209347161, 6.198764706038546, 84871.61281362441, -11124.739698754653, -79291.17878018098]"
1066,0,0,,"[856.1482224995179, 3386.940050164807, 8066.498668317938, 0.7252313142242249, 4.455197833296479, 3.3558316201352794, -9.951328477387687, 2.220330402236536, -0.915013521027471, -4.778023844835227, -4.43816123558663, 5.77873346070697, -24555.22087414663, -48215.14251396005, -300441.55469103245]"
1067,0,0,,"[-8252.295699333044, -6378.498936551251, 5399.224691219555, 3.3736856360016203, 3.9952216917835286, 4.560787603104068, -0.05751036156489242, -7.651201400308888, -1.0719658367592686, -2.449164293501747, -6.499216243772671, 6.414901155160351, 132930.06387609697, 33814.8194444392, -306101.53723251534]"
1068,0,0,,"[4098.0307303253285, 3952.3665652623113, -9617.067838649218, 3.1996862619627944, 4.482929812816036, 4.793883395401744, -0.6252121681378906, -1.7344109659357994, -6.529062275742168, -11.12279744632466, 0.5993996857694537, -1.543425566438735, -123928.20122707593, 1995.5064954658446, -61690.45219054475]"
1069,"[array([ 435435.13957116, 2768008.64966073, 3760643.02130207]), array([ 435435.13957116, 2768008.64966073, 3760643.02130207])]","[array([-276.20463,   -2.35146, -458.35201]), array([276.20463,   2.35146, 458.35201])]",,"[-4971.905247162096, 2800.927355476717, -8093.950565694538, 3.125544066820551, 5.516114872796319, 0.3968659520718688, -1.652719817763753, 10.64095572269801, 3.4010207298116324, -8.423153476029496, 1.967348047187734, -4.5865285097742765, -29743.432001203953, -1339.695158118906, -280354.8494768192]"
1070,0,0,,"[-1380.061191518189, -2839.048037938296, -9927.008909298336, 0.24084685832335928, 2.213898629400926, 0.21773434994896698, -11.57067283845268, -4.054710819290787, 11.191572874252458, 4.237449061554603, -12.36833522730395, 5.159086921897384, 39126.67460752127, 43728.61502844456, -136500.7158217036]"
1071,0,0,,"[-360.2242470144083, -6742.853258781273, -9851.606541730098, 1.2746709096479714, 1.0295924091089044, 4.259878515723963, -10.305841483007374, 10.198472548081885, -4.823967460983484, 4.440366206494296, 5.952060092782816, -6.403576932034648, -44774.03245385806, 362.379711175774, -37986.65480854531]"
1072,0,0,,"[-7455.329490973581, 5481.52006326252, -7612.329166357666, 1.9372238456163806, 2.5564212755227462, 0.5345020525937991, -3.566356541968103, 4.0928452407791625, -5.30281430042932, -12.020029776468288, -3.973894640650885, 4.361578924666858, 116625.00966772944, 98050.33981052644, -315018.25218404265]"
1073,0,0,,"[-1311.1446875432084, -2067.034850789638, -32.6460330824284, 3.3968305047248193, 4.372356186673609, 3.035144110553606, -0.02729342914095234, -7.327430533372787, 12.535439462878728, 0.6112310250138382, -4.455411977065642, -9.044008892477049, 90321.63040905778, 133407.96529012453, -100872.36756964913]"
1074,0,0,,"[9477.384799752592, 4115.367345565612, -392.8266208188379, 4.464150321405833, 5.115504587558282, 2.942455183383057, -11.404571808248134, 2.593773849667512, -3.8855110657360683, -1.5841707624542938, -3.7429552872337304, -9.930464186804352, 102718.08588007741, 55639.245485996595, -232568.00233821952]"
1075,0,0,,"[-6713.63846102847, -1668.2219627074483, 3462.1617383253815, 4.118552699121457, 3.3853859284973753, 1.98184435645864, -1.205934676539247, -3.0444299362639313, 8.784324822455105, 10.076767288925787, -2.4911718868514807, -0.7788087065391327, -130402.3306786493, -113172.73534129992, -47826.99158031563]"
1076,0,0,,"[9772.834146723573, -2070.4597911685814, 1799.3933048319395, 0.8901994728535716, 3.609889892538887, 4.184413896997075, -10.512463074270503, -7.2571646446012235, -2.087438972948208, 9.319220152225448, -5.255164594472061, -2.9446165297464066, -92440.88273559377, -63111.1331858858, -79073.0512848259]"
1077,0,0,,"[-4781.985339899937, 3278.3173581038045, 1502.529916028756, 0.17006287565067213, 4.048115417507467, 3.188110469978882, -12.047581989385412, -4.905387076986575, -7.025568356119659, 9.50847632662921, -2.579813401403017, -7.632928099862652, 135155.77313024498, 40740.078636136925, -190153.39130504278]"
1078,0,0,,"[-62.63736663451891, 8723.943484428095, 1894.0961646982396, 1.1238944716862198, 3.9245701777973183, 3.1514891809559136, 1.6065783656134691, -2.454401539631916, 5.619484398197928, -8.783576598198772, -0.8919330441070166, -10.349186520062311, -52577.75452669144, 70700.64951335572, -187077.28972019558]"
1079,0,0,,"[-3375.8167076274103, 9323.665800060997, -5879.03473367126, 1.3915030087284928, 1.6391620920198122, 3.671911352367132, 0.5901441649693702, 6.829790275349778, 11.240666528110232, -7.034980100310904, -0.5348590243302791, -0.6022355136364261, -113554.30507729406, 1230.2821509355272, -218540.68552761563]"
1080,0,0,,"[5129.6907106342915, -6209.506914438385, 8287.855153275174, 0.6678691318711868, 5.3365629472863825, 0.7917163595187969, 10.911527968828736, 8.128064519254899, -7.4609460321826155, -7.455579562896195, -0.4660360489038915, -7.608318079769158, -23352.422599997168, 42447.424276254635, -140193.59559909877]"
1081,0,0,,"[5646.113866644917, 7267.7398979374375, 2.586590144375805, 1.0954334662819318, 1.6758935730002242, 5.298082857964842, -4.624025363980478, 8.397325743646533, -1.7469099211961652, -6.962039297054184, -10.857007172340177, 7.73840242637711, -8664.428266318777, -116753.44439600737, -248740.67953565205]"
1082,0,0,,"[-5006.103650566478, 8999.716500862029, 1244.501495241071, 2.5871675491690813, 5.540250719685545, 1.180791742985787, 11.484435335129547, 1.6369935263709863, 9.487174590677235, -11.305186691901596, -9.601412500231786, 4.465808256192464, -69422.11390243132, -127976.60786219189, -12909.068554945465]"
1083,"[array([779642.1035293 , 121206.90641533, 422552.58802626]), array([779642.1035293 , 121206.90641533, 422552.58802626])]","[array([-160.5035 ,   25.9568 , -100.43381]), array([160.5035 , -25.9568 , 100.43381])]",,"[-5315.929484943454, -6949.166595516441, 4523.470907572153, 0.16733662380201447, 4.893661887334288, 3.0633827247668424, 12.009361450729088, 11.732775896508187, 6.463304345301175, -7.559703917503241, -6.565703599442367, 0.5016436094478873, -13227.81389083818, 114331.56859824568, -282097.80266721244]"
1084,0,0,,"[7596.011334387287, 2958.691738277257, -2222.297723965543, 2.188823285277201, 3.9763994802108216, 0.6829197054118817, -9.153956800741987, 11.269671742233257, 11.648091836516478, -8.404858361125346, 5.7733870942426435, 0.7079959323748177, -104930.61200024234, -66413.28080848999, -164127.14284478303]"
1085,"[array([467666.18559222, 682970.35519978, 591667.84286261]), array([467666.18559222, 682970.35519978, 591667.84286261])]","[array([-147.22981,    2.14977, -132.57414]), array([147.22981,  -2.14977, 132.57414])]",,"[4824.023814763923, 1028.116614391145, 8881.781687670089, 1.4066339188791768, 0.1537927122485901, 2.2343343961729127, 10.153837750107876, -7.280545491514269, 2.44562965136015, 4.839687038178855, 7.956855369238848, 0.8750420469047633, -12651.84212295324, 24943.113695866545, -254722.9884173259]"
1086,0,0,,"[9237.308139139837, -8386.110364966957, -2414.0975424272137, 2.0352749857118995, 3.659845117591153, 1.7208905616328631, -7.387130536533656, -6.390384359816293, 11.701877851430314, -1.3830532580699977, 2.554594906038263, 5.446663817832441, -41333.32909509864, -52228.88275178717, -273657.2317945294]"
